x,y,s,heading,curvature,v_ref
-0.836665,1.088823,0.000000,-0.785398,-0.000000,0.000000
-0.806909,1.059066,0.042081,-0.785398,0.000000,0.000000
-0.777153,1.029310,0.084163,-0.785398,-0.000000,0.000000
-0.747397,0.999554,0.126244,-0.785398,0.000000,0.000000
-0.717641,0.969798,0.168326,-0.785398,-0.000000,0.000000
-0.687885,0.940042,0.210407,-0.785398,0.000000,0.000000
-0.658129,0.910286,0.252489,-0.785398,-0.000000,0.000000
-0.628373,0.880530,0.294570,-0.785398,0.000000,0.000000
-0.598616,0.850774,0.336652,-0.785398,-0.000000,0.000000
-0.568860,0.821018,0.378733,-0.785398,-0.000000,0.000000
-0.539104,0.791262,0.420815,-0.785398,0.000000,0.000000
-0.509348,0.761505,0.462896,-0.785398,-0.000000,0.000000
-0.479592,0.731749,0.504978,-0.785398,0.000000,0.000000
-0.449836,0.701993,0.547059,-0.785398,0.000000,0.000000
-0.420080,0.672237,0.589141,-0.785398,-0.000000,0.000000
-0.390324,0.642481,0.631222,-0.785398,-0.000000,0.000000
-0.360568,0.612725,0.673304,-0.785398,0.000000,0.000000
-0.330812,0.582969,0.715385,-0.785398,-0.000000,0.000000
-0.301056,0.553213,0.757467,-0.785398,-0.000000,0.000000
-0.271299,0.523457,0.799548,-0.785398,0.000000,0.000000
-0.241543,0.493701,0.841630,-0.785398,0.000000,0.000000
-0.211787,0.463944,0.883711,-0.785398,-0.000000,0.000000
-0.182031,0.434188,0.925792,-0.785398,0.000000,0.000000
-0.152275,0.404432,0.967874,-0.785398,-0.000000,0.000000
-0.122519,0.374676,1.009955,-0.785398,0.000000,0.000000
-0.092763,0.344920,1.052037,-0.785398,-0.000000,0.000000
-0.063007,0.315164,1.094118,-0.785398,-0.000000,0.000000
-0.033251,0.285408,1.136200,-0.785398,0.000000,0.000000
-0.003495,0.255652,1.178281,-0.785398,-0.000000,0.000000
0.026262,0.225896,1.220363,-0.785398,-0.000000,0.000000
0.056018,0.196140,1.262444,-0.785398,0.000000,0.000000
0.085774,0.166384,1.304526,-0.785398,-0.000000,0.000000
0.115530,0.136627,1.346607,-0.785398,0.000000,0.000000
