x,theta,x_dot,theta_dot,force,label1,label2,label3,label4
-1.40987,0.198645,0.881282,-0.137864,5.96038,0.881282,-0.137864,6.1265,-15.8839
1.91188,0.197633,-0.0447643,-0.189616,-7.45552,-0.0447643,-0.189616,-7.23839,10.3426
-0.054127,-0.102499,0.486182,0.761439,0.909195,0.486182,0.761439,0.805537,0.404883
1.29866,-0.0627407,-0.0511263,-0.15954,-1.21061,-0.0511263,-0.15954,-1.27157,3.76831
-0.746749,0.0718181,0.784146,-0.159329,7.28185,0.784146,-0.159329,7.34837,-16.0667
-1.57226,-0.117303,0.70703,0.710711,0.279762,0.70703,0.710711,0.162562,1.97332
1.36868,-0.0668002,-0.569133,0.990398,-8.42437,-0.569133,0.990398,-8.4892,18.2502
1.13126,-0.178273,0.00571909,-0.942771,7.30578,0.00571909,-0.942771,7.10435,-10.5043
-0.643476,0.141947,0.26768,-0.747413,-9.48207,0.26768,-0.747413,-9.32207,15.681
0.226634,0.101941,-0.218344,0.715323,-7.65679,-0.218344,0.715323,-7.54706,13.0191
-0.92176,-0.00776752,0.179961,0.518726,-3.60591,0.179961,0.518726,-3.61361,7.3794
-1.62481,-0.0770991,0.490035,-0.538091,-2.58171,0.490035,-0.538091,-2.65659,6.80858
-0.202325,-0.199636,0.970273,0.464842,1.66122,0.970273,0.464842,1.46264,1.0237
1.32356,0.149928,0.301662,-0.692108,-2.17778,0.301662,-0.692108,-2.0248,1.07359
0.882811,-0.105357,-0.33039,0.175818,3.40913,-0.33039,0.175818,3.30272,-4.50554
-0.965384,-0.192951,0.374209,-0.829752,6.99083,0.374209,-0.829752,6.7747,-9.5357
-0.926658,0.020332,-0.41483,-0.403472,-1.57887,-0.41483,-0.403472,-1.5587,2.71787
0.0812716,0.168792,0.355021,0.697094,2.02424,0.355021,0.697094,2.18462,-7.60313
1.73348,0.104878,-0.967776,-0.0573432,-9.78206,-0.967776,-0.0573432,-9.66931,17.1784
-1.83449,0.131415,-0.467531,-0.352739,-2.03676,-0.467531,-0.352739,-1.90523,1.20665
2.37699,-0.159816,-0.412303,0.00250051,4.0757,-0.412303,0.00250051,3.91166,-4.60136
-0.217391,-0.0419506,0.773131,-0.955061,4.09818,0.773131,-0.955061,4.05445,-7.27893
-1.23428,0.129275,-0.366856,0.830811,-0.455735,-0.366856,0.830811,-0.325335,-1.88408
-0.793877,-0.113972,-0.276095,-0.226642,-4.31105,-0.276095,-0.226642,-4.41647,11.0069
2.24752,0.147032,0.0809222,-0.675092,9.23646,0.0809222,-0.675092,9.36187,-21.3961
2.24665,0.0901979,-0.794264,0.848176,-6.90218,-0.794264,0.848176,-6.80542,11.7882
2.06468,0.196362,-0.514349,-0.498613,-9.27334,-0.514349,-0.498613,-9.04876,13.9218
-0.769028,-0.179606,-0.648299,-0.0141729,-4.39718,-0.648299,-0.0141729,-4.55507,12.4685
-1.30611,0.057338,-0.103119,0.972876,-8.17745,-0.103119,0.972876,-8.11595,15.0809
-0.830891,-0.11419,-0.145075,-0.133928,-0.918477,-0.145075,-0.133928,-1.02829,4.27873
-1.16015,-0.0394691,-0.749142,-0.868093,-5.04412,-0.749142,-0.868093,-5.08349,10.9332
2.02605,0.113574,-0.167542,0.982989,-2.47356,-0.167542,0.982989,-2.3546,2.45532
-2.14697,0.129504,0.512371,0.218822,-5.56414,0.512371,0.218822,-5.42915,8.23361
-2.03384,0.118009,-0.598358,-0.611434,-4.88834,-0.598358,-0.611434,-4.76484,7.15343
1.7012,0.142408,-0.307273,0.875462,7.44112,-0.307273,0.875462,7.56913,-17.7696
-1.52323,-0.16391,-0.356068,-0.806852,7.79438,-0.356068,-0.806852,7.61087,-11.8162
0.921805,-0.0842815,-0.724418,0.145422,-2.41347,-0.724418,0.145422,-2.49408,6.6221
0.253825,0.0362976,-0.0506878,-0.432794,0.440459,-0.0506878,-0.432794,0.476313,-1.664
-0.18207,-0.114253,-0.586698,0.448289,5.59988,-0.586698,0.448289,5.4805,-8.65277
1.2923,-0.173615,0.913123,-0.881314,-8.82648,0.913123,-0.881314,-8.97333,21.0661
-0.593425,0.0685266,-0.708958,0.713137,-9.73618,-0.708958,0.713137,-9.6629,17.937
-1.1847,0.0278058,0.769351,-0.129936,2.9097,0.769351,-0.129936,2.93676,-6.41673
-1.67588,0.148673,-0.15816,0.482705,7.59335,-0.15816,0.482705,7.72184,-18.1796
-0.353944,-0.193147,-0.0928694,0.698685,-1.99119,-0.0928694,0.698685,-2.17267,8.03055
1.76332,0.17439,0.55835,-0.235704,4.45025,0.55835,-0.235704,4.6045,-12.4735
0.300732,-0.0675556,0.650458,0.813851,1.74735,0.650458,0.813851,1.67828,-2.02447
1.23402,-0.121658,-0.232074,-0.339912,6.73874,-0.232074,-0.339912,6.61013,-10.7415
0.829073,-0.0893186,-0.579685,0.466702,7.8512,-0.579685,0.466702,7.7569,-13.7019
-0.204008,0.165422,-0.775775,-0.71585,3.08882,-0.775775,-0.71585,3.24358,-9.6294
-0.303574,0.0195023,0.456707,-0.0386934,-8.4192,0.456707,-0.0386934,-8.39975,16.4137
-0.418189,0.0598224,-0.545525,0.00998122,-9.53409,-0.545525,0.00998122,-9.47216,17.7374
0.907526,0.0349309,0.0981022,-0.548893,5.42124,0.0981022,-0.548893,5.45534,-11.5892
-2.1572,0.189361,-0.282936,0.218116,6.4701,-0.282936,0.218116,6.62841,-16.713
1.12709,-0.0125926,0.735895,0.0206589,-3.08779,0.735895,0.0206589,-3.10009,6.44675
1.14949,-0.0349694,-0.738525,0.103667,-4.4979,-0.738525,0.103667,-4.53165,9.74371
-0.78273,8.00114e-05,0.853008,-0.462684,3.47804,0.853008,-0.462684,3.47812,-6.9578
0.729088,-0.0860896,-0.8029,0.947309,-1.88508,-0.8029,0.947309,-1.97152,5.61543
-0.0327896,-0.140975,0.555401,0.770837,0.782329,0.555401,0.770837,0.640419,1.48864
-1.38583,0.0785937,-0.955626,-0.514174,-7.83511,-0.955626,-0.514174,-7.75251,13.9167
-1.78448,-0.168743,-0.329283,0.435152,-2.37562,-0.329283,0.435152,-2.53248,8.28806
