theta,theta_dot,torque,label1,label2
4.73927,-3.73995,-0.339694,-3.73995,-10.1087
3.4608,1.52475,0.650972,1.52475,-2.44284
4.00267,1.66947,0.116265,1.66947,-7.34176
4.02572,-0.280081,-0.0681619,-0.280081,-7.65204
0.629155,-0.824089,-0.64252,-0.824089,5.13853
5.16013,2.19217,0.875631,2.19217,-7.9893
3.5112,-0.00183695,0.192404,-0.00183695,-3.35141
3.27612,0.491521,-0.341955,0.491521,-1.66265
0.332875,-1.06067,-0.355411,-1.06067,2.86073
3.05206,-2.00837,-0.61691,-2.00837,0.280337
3.902,2.00239,-0.490454,2.00239,-7.27167
2.7078,0.548684,0.262711,0.548684,4.38052
2.8587,1.93702,0.591177,1.93702,3.31014
3.3976,2.90471,-0.422505,2.90471,-2.93559
5.09757,3.04574,-0.220873,3.04574,-9.34254
3.67133,-4.07061,-0.895085,-4.07061,-5.81147
5.02417,-2.60337,0.409885,-2.60337,-8.90113
0.263078,2.96271,-0.343802,2.96271,2.1777
4.60899,4.80901,-0.914289,4.80901,-10.72
5.00223,2.07639,-0.369073,2.07639,-9.79066
0.757257,-3.06777,-0.646237,-3.06777,6.12323
1.09086,1.42939,0.478913,1.42939,9.16635
4.90413,4.56496,0.0844105,4.56496,-9.59145
1.86592,1.76207,-0.6077,1.76207,8.76056
0.460038,-2.07027,0.680206,-2.07027,5.05638
4.91997,0.27475,0.57085,0.27475,-9.03129
4.48418,0.54874,-0.977628,0.54874,-10.5388
6.03226,-2.44628,-0.40659,-2.44628,-2.81792
0.528109,-4.34713,0.478257,-4.34713,5.46499
0.882915,-1.30464,-0.350026,-1.30464,7.24216
3.66934,-3.75738,-0.48799,-3.75738,-5.39059
1.10354,4.03759,-0.171218,4.03759,8.54687
2.06283,2.75929,0.33097,2.75929,8.94963
6.01355,-0.923529,-0.0277461,-0.923529,-2.63174
4.60505,-4.93161,0.856052,-4.93161,-8.84817
5.79315,0.0559889,-0.919928,0.0559889,-5.53766
0.830725,3.43167,-0.55328,3.43167,6.65631
2.75494,-4.69168,-0.0171264,-4.69168,3.72906
5.11969,-1.2524,-0.950745,-1.2524,-9.94569
0.0286846,0.369124,0.348117,0.369124,0.625784
5.41903,-3.99759,0.877857,-3.99759,-6.5431
1.0158,2.63478,-0.450598,2.63478,7.86057
4.91028,-3.86348,0.980346,-3.86348,-8.59955
