theta,theta_dot,control,theta_next,theta_dot_next
1.99573,9.48526,-6.08728,2.09067,9.50221
4.51799,-1.77933,9.19606,4.50019,-1.78167
4.15937,3.00077,-0.00876431,4.18894,2.9135
3.0368,-0.449459,-6.82731,3.03201,-0.506764
1.44583,8.71999,-4.61613,1.53325,8.76283
3.47071,1.4242,-9.1793,3.48433,1.2987
2.5795,6.55839,-0.658936,2.64527,6.59475
4.02815,3.88759,4.57193,4.06685,3.85224
3.34061,0.41996,-5.29918,3.34444,0.347
2.95238,4.15715,4.7276,2.99425,4.21667
3.65211,3.73299,1.34459,3.68925,3.6932
6.05946,-9.87282,-9.37179,5.96018,-9.98308
4.08862,-7.47704,6.07272,4.0138,-7.48624
2.71692,4.01747,1.07683,2.75732,4.0628
5.38204,-6.83188,-0.037767,5.31336,-6.90433
0.00716015,-2.40503,8.8249,-0.0164374,-2.31488
2.66488,1.93911,-1.79935,2.6844,1.96333
0.354288,-1.55927,5.76666,0.339159,-1.46676
0.782049,-2.13738,-6.59896,0.760699,-2.13284
0.483063,0.707386,8.94482,0.490809,0.841953
